timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1540302518921,864,Page Returning 404,404,Not Found,Scenario 1 1-2,text,true,,10794,680,5,5,http://www.zara.com/test,727,0,0
1540302518921,727,Page Returning 404-0,302,Moved Temporarily,Scenario 1 1-2,,true,,150,338,5,5,http://zara.com/test,727,0,0
1540302519648,137,Page Returning 404-1,404,Not Found,Scenario 1 1-2,text,false,,10644,342,5,5,http://www.zara.com/test,130,0,32
1540302518880,907,Page Returning 404,404,Not Found,Scenario 1 1-4,text,true,,10795,680,5,5,http://www.zara.com/test,775,0,0
1540302518880,775,Page Returning 404-0,302,Moved Temporarily,Scenario 1 1-4,,true,,150,338,5,5,http://zara.com/test,775,0,0
1540302519655,132,Page Returning 404-1,404,Not Found,Scenario 1 1-4,text,false,,10645,342,5,5,http://www.zara.com/test,132,0,26
1540302519277,525,Page Returning 404,404,Not Found,Scenario 1 1-3,text,true,,10794,680,5,5,http://www.zara.com/test,375,0,0
1540302519277,375,Page Returning 404-0,302,Moved Temporarily,Scenario 1 1-3,,true,,150,338,5,5,http://zara.com/test,375,0,0
1540302519653,149,Page Returning 404-1,404,Not Found,Scenario 1 1-3,text,false,,10644,342,5,5,http://www.zara.com/test,147,0,37
1540302519032,806,Page Returning 404,404,Not Found,Scenario 1 1-1,text,true,,10795,680,5,5,http://www.zara.com/test,629,0,0
1540302519032,629,Page Returning 404-0,302,Moved Temporarily,Scenario 1 1-1,,true,,150,338,5,5,http://zara.com/test,629,0,0
1540302519661,177,Page Returning 404-1,404,Not Found,Scenario 1 1-1,text,false,,10645,342,5,5,http://www.zara.com/test,175,0,33
1540302519728,358,Home Page,200,OK,Scenario 1 1-5,text,false,Test failed: text expected to contain /<h1>Example Domain</h1>/,33547,1006,5,5,https://www.zara.com/,64,0,26
1540302519728,64,Home Page-0,301,Moved Permanently,Scenario 1 1-5,,true,,143,334,5,5,http://zara.com/,64,0,26
1540302519792,155,Home Page-1,302,Moved Temporarily,Scenario 1 1-5,,true,,147,334,5,5,https://zara.com/,155,0,104
1540302519947,139,Home Page-2,200,OK,Scenario 1 1-5,text,true,,33257,338,5,5,https://www.zara.com/,116,0,83
1540302519786,368,Home Page,200,OK,Scenario 1 1-2,text,false,Test failed: text expected to contain /<h1>Example Domain</h1>/,33547,1006,5,5,https://www.zara.com/,60,0,24
1540302519786,60,Home Page-0,301,Moved Permanently,Scenario 1 1-2,,true,,143,334,5,5,http://zara.com/,60,0,24
1540302519846,129,Home Page-1,302,Moved Temporarily,Scenario 1 1-2,,true,,147,334,5,5,https://zara.com/,129,0,101
1540302519975,179,Home Page-2,200,OK,Scenario 1 1-2,text,true,,33257,338,5,5,https://www.zara.com/,135,0,88
1540302519795,369,Home Page,200,OK,Scenario 1 1-4,text,false,Test failed: text expected to contain /<h1>Example Domain</h1>/,33547,1006,5,5,https://www.zara.com/,38,0,14
1540302519795,38,Home Page-0,301,Moved Permanently,Scenario 1 1-4,,true,,143,334,5,5,http://zara.com/,38,0,14
1540302519833,131,Home Page-1,302,Moved Temporarily,Scenario 1 1-4,,true,,147,334,5,5,https://zara.com/,131,0,90
1540302519964,200,Home Page-2,200,OK,Scenario 1 1-4,text,true,,33257,338,5,5,https://www.zara.com/,165,0,112
1540302519803,404,Home Page,200,OK,Scenario 1 1-3,text,false,Test failed: text expected to contain /<h1>Example Domain</h1>/,33547,1006,5,5,https://www.zara.com/,56,0,24
1540302519803,56,Home Page-0,301,Moved Permanently,Scenario 1 1-3,,true,,143,334,5,5,http://zara.com/,56,0,24
1540302519859,146,Home Page-1,302,Moved Temporarily,Scenario 1 1-3,,true,,147,334,5,5,https://zara.com/,146,0,112
1540302520005,202,Home Page-2,200,OK,Scenario 1 1-3,text,true,,33257,338,5,5,https://www.zara.com/,172,0,121
